Z,N,energy,bet2,correctedRMS,bet2p,bet2n,bet4,bet4p,bet4n,epairp,epairn,unknown_c10,unknown_c11,iter,rms,rmsp,rmsn,jz_p,jz_n,j,extra_c19,extra_c21,extra_c22,extra_c23,extra_c24,Nmass,Ncharge
1,11,-1.644678E+02,3.209964E-03,3.276043E+00,1.617975E-03,5.370025E-03,-1.575808E-02,-2.656801E-02,-1.090830E-03,-3.300000E-01,-1.470000E+00,-7.345380E-01,-1.184849E+00,8001,3.069178E+00,3.177301E+00,2.916071E+00,5.000000E-01,5.000000E-01,2.500000E+00,2.500000E+00,3.748017E+00,2.308060E-01,2.586200E+00,0.000000E+00,12,1
1,12,-1.818829E+02,-6.090406E-02,3.237103E+00,-5.781878E-02,-6.472639E-02,-2.924554E-04,-1.203453E-03,8.361718E-04,-1.900000E-01,-1.630000E+00,-1.190216E+00,-1.091343E+00,8001,3.057887E+00,3.139736E+00,2.953340E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.629487E+00,-8.413342E+00,3.087000E+00,0.000000E+00,13,1
1,13,-1.880342E+02,-3.147446E-01,3.147693E+00,-3.273048E-01,-3.022744E-01,1.032510E-01,1.051952E-01,1.013206E-01,-1.000000E-01,-2.200000E-01,-2.062509E+00,-9.978922E-01,8001,3.023352E+00,3.055198E+00,2.991398E+00,5.000000E-01,5.200000E-01,1.500000E+00,2.440000E+00,3.486682E+00,-4.035801E+01,1.263100E+00,0.000000E+00,14,1
1,14,-2.018084E+02,-3.204430E-01,3.148942E+00,-3.299465E-01,-3.116813E-01,9.895017E-02,1.040659E-01,9.423375E-02,-9.000000E-02,-2.300000E-01,-2.358912E+00,-8.934100E-01,8001,3.041673E+00,3.059380E+00,3.025257E+00,5.000000E-01,5.200000E-01,0.000000E+00,0.000000E+00,3.479667E+00,-4.172476E+01,1.387700E+00,0.000000E+00,15,1
1,15,-2.264990E+02,-1.055075E-02,3.200548E+00,-1.011806E-02,-1.098059E-02,-7.378689E-04,-8.131749E-04,-6.630591E-04,-1.000000E-01,-1.800000E-01,-1.917174E+00,-1.073189E+00,8001,3.072743E+00,3.108791E+00,3.036509E+00,5.000000E-01,5.000000E-01,5.000000E-01,5.000000E-01,3.549109E+00,-1.584842E+00,1.271700E+00,0.000000E+00,16,1
1,16,-2.193861E+02,-1.546729E-01,3.126819E+00,-1.701334E-01,-1.421937E-01,1.033682E-02,1.610191E-02,5.683406E-03,-8.000000E-02,-3.000000E-01,-2.716153E+00,-7.424082E-01,8001,3.057815E+00,3.038866E+00,3.073024E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.437000E+00,-2.258556E+01,1.616400E+00,0.000000E+00,17,1
1,17,-2.470376E+02,5.665589E-02,3.239501E+00,5.494982E-02,5.815306E-02,-3.254648E-04,-8.674987E-04,1.502002E-04,-9.000000E-02,-2.600000E-01,-2.175108E+00,-8.142241E-01,8001,3.146034E+00,3.149055E+00,3.143381E+00,5.000000E-01,5.000000E-01,5.000000E-01,1.490000E+00,3.573629E+00,9.000371E+00,1.489800E+00,0.000000E+00,18,1
1,18,-2.324135E+02,-2.037477E-01,3.194553E+00,-2.133727E-01,-1.968328E-01,1.293182E-02,2.428767E-02,4.773468E-03,-8.000000E-02,-3.000000E-01,-2.867991E+00,-7.934700E-01,8001,3.158117E+00,3.106937E+00,3.194379E+00,5.000000E-01,5.100000E-01,0.000000E+00,0.000000E+00,3.499425E+00,-2.966689E+01,1.512400E+00,0.000000E+00,19,1
1,19,-2.605729E+02,1.331648E-01,3.277460E+00,1.294804E-01,1.360600E-01,-2.580761E-02,-1.786005E-02,-3.205258E-02,-9.000000E-02,-6.100000E-01,-2.400193E+00,-6.916308E-01,8001,3.221269E+00,3.191352E+00,3.244584E+00,5.000000E-01,5.000000E-01,1.500000E+00,3.400000E+00,3.598712E+00,2.210636E+01,2.181100E+00,0.000000E+00,20,1
1,20,-2.718929E+02,2.831270E-03,3.303667E+00,2.508491E-03,3.072314E-03,-1.001146E-03,-4.772303E-04,-1.392393E-03,-9.000000E-02,-3.100000E-01,-2.473260E+00,-7.870206E-01,8001,3.250063E+00,3.211933E+00,3.278249E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.621099E+00,4.368709E-01,1.525600E+00,0.000000E+00,21,1
1,21,-2.723907E+02,3.426304E-01,3.327456E+00,3.094630E-01,3.662112E-01,9.959466E-02,5.761665E-02,1.294395E-01,-8.000000E-02,-2.200000E-01,-2.709135E+00,-9.171847E-01,8001,3.315116E+00,3.250832E+00,3.360073E+00,5.000000E-01,5.200000E-01,1.500000E+00,3.310000E+00,3.644793E+00,5.489399E+01,1.366100E+00,0.000000E+00,22,1
1,22,-2.820315E+02,1.516568E-01,3.330993E+00,1.432867E-01,1.573405E-01,4.506041E-02,2.716220E-02,5.721401E-02,-8.000000E-02,-1.290000E+00,-2.709603E+00,-1.003218E+00,8001,3.315478E+00,3.247882E+00,3.360602E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.639205E+00,2.590530E+01,2.715000E+00,0.000000E+00,23,1
1,23,-2.861106E+02,2.241463E-01,3.346158E+00,2.072801E-01,2.351009E-01,7.766865E-02,4.640981E-02,9.797120E-02,-7.000000E-02,-2.600000E-01,-2.867069E+00,-8.163435E-01,8001,3.350193E+00,3.267172E+00,3.403030E+00,5.000000E-01,5.100000E-01,1.500000E+00,3.390000E+00,3.650875E+00,3.814687E+01,1.484800E+00,0.000000E+00,24,1
1,24,-2.913162E+02,2.676828E-01,3.363126E+00,2.457467E-01,2.813367E-01,7.335307E-02,4.477279E-02,9.114275E-02,-7.000000E-02,-3.200000E-01,-3.004319E+00,-7.358999E-01,8001,3.383452E+00,3.288327E+00,3.441335E+00,5.000000E-01,5.200000E-01,0.000000E+00,0.000000E+00,3.665738E+00,4.601830E+01,1.634900E+00,0.000000E+00,25,1
1,25,-2.954596E+02,2.577585E-01,3.368231E+00,2.400799E-01,2.683224E-01,3.237714E-02,1.949864E-02,4.007271E-02,-7.000000E-02,-3.200000E-01,-3.150003E+00,-7.330111E-01,8001,3.402546E+00,3.297247E+00,3.463941E+00,5.000000E-01,5.200000E-01,2.500000E+00,3.500000E+00,3.666716E+00,4.572390E+01,1.639100E+00,0.000000E+00,26,1
1,26,-2.947369E+02,3.258718E-01,3.410223E+00,2.854844E-01,3.490825E-01,-1.341409E-01,2.165817E-02,-2.236787E-01,-7.000000E-02,-2.100000E-01,-3.126408E+00,-6.098735E-01,8001,3.546747E+00,3.340061E+00,3.660252E+00,5.000000E-01,5.200000E-01,0.000000E+00,0.000000E+00,3.715249E+00,5.529100E+01,2.083600E+00,0.000000E+00,27,1
1,27,-2.992938E+02,3.137511E-01,3.415035E+00,2.781190E-01,3.334703E-01,-7.378714E-02,1.183480E-04,-1.146873E-01,-7.000000E-02,-2.400000E-01,-3.270548E+00,-6.451445E-01,8001,3.535623E+00,3.348593E+00,3.634993E+00,5.000000E-01,5.200000E-01,2.500000E+00,3.500000E+00,3.716019E+00,5.473750E+01,1.901800E+00,0.000000E+00,28,1
1,28,-2.943187E+02,2.408172E-01,3.432710E+00,2.823682E-01,2.186405E-01,-2.326774E+00,2.251217E-02,-3.580640E+00,-7.000000E-02,-3.900000E-01,-3.167410E+00,-2.759318E-01,8001,4.371991E+00,3.362748E+00,4.825003E+00,5.000000E-01,5.200000E-01,0.000000E+00,0.000000E+00,3.745079E+00,5.646353E+01,4.506800E+00,0.000000E+00,29,1
1,29,-2.964004E+02,2.693587E-01,3.416718E+00,2.204422E-01,2.945661E-01,-3.257848E+00,2.247957E-02,-4.948246E+00,-7.000000E-02,-2.600000E-01,-3.301632E+00,-2.272640E-01,8001,4.403963E+00,3.349104E+00,4.858943E+00,5.000000E-01,5.100000E-01,3.500000E+00,3.510000E+00,3.726907E+00,4.476179E+01,5.343500E+00,0.000000E+00,30,1
2,1,-2.621449E+01,-8.880922E-02,2.341854E+00,-1.009149E-01,-7.608311E-02,-2.622295E+00,-3.603955E-01,-5.000112E+00,-5.290000E+00,-1.256000E+01,-4.284133E+00,-4.774534E+00,8001,2.476563E+00,2.382584E+00,2.571658E+00,0.000000E+00,0.000000E+00,5.000000E-01,5.000000E-01,2.921754E+00,-5.458710E-01,2.868200E+00,0.000000E+00,3,2
2,2,-3.003096E+01,1.054974E-02,2.118356E+00,7.959869E-03,1.313960E-02,-3.124776E-02,-3.840708E-02,-2.408844E-02,-4.930000E+00,-4.870000E+00,-4.555754E+00,-4.574647E+00,8001,2.248963E+00,2.255971E+00,2.241933E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.417339E+00,4.377087E-02,1.950800E+00,0.000000E+00,4,2
2,3,-3.490859E+01,2.961129E-01,2.144458E+00,-1.482413E-02,5.034043E-01,-1.535902E+01,-9.713104E-03,-2.559188E+01,-4.840000E+00,-1.116000E+01,-4.624366E+00,-3.901964E+00,8001,2.735546E+00,2.229613E+00,3.026203E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.393225E+00,-9.459215E-02,4.204400E+00,0.000000E+00,5,2
2,4,-3.860947E+01,7.576527E-01,2.205000E+00,-6.629735E-02,1.169628E+00,-3.764798E+01,7.364560E-04,-5.647235E+01,-5.230000E+00,-2.415000E+01,-4.711132E+00,-4.282206E+00,8001,4.119830E+00,2.288548E+00,4.779202E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.512916E+00,-4.777158E-01,7.443600E+00,0.000000E+00,6,2
2,5,-3.491686E+01,1.663953E+00,2.233351E+00,-3.458438E-02,2.343368E+00,-1.004597E+02,3.356832E-03,-1.406449E+02,-5.200000E+00,-1.842000E+01,-4.381740E+00,-3.966247E+00,8001,6.616537E+00,2.285705E+00,7.694167E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.768599E+00,-2.761752E-01,6.706100E+00,0.000000E+00,7,2
2,6,-3.459736E+01,2.213232E+00,2.231204E+00,1.406854E-02,2.946287E+00,-1.125934E+02,-1.115468E-02,-1.501209E+02,-5.250000E+00,-2.029000E+01,-4.499480E+00,-3.624693E+00,8001,7.236950E+00,2.288080E+00,8.251433E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.809608E+00,1.228047E-01,8.559500E+00,0.000000E+00,8,2
2,7,-3.429032E+01,1.929265E+00,2.290613E+00,-2.099607E-02,2.486482E+00,-1.160242E+02,-4.109683E-03,-1.491728E+02,-5.310000E+00,-2.270000E+01,-4.563386E+00,-3.623713E+00,8001,7.740019E+00,2.302229E+00,8.689654E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.933735E+00,-1.982465E-01,1.024250E+01,0.000000E+00,9,2
2,8,-3.399347E+01,1.741031E+00,2.278189E+00,-4.376852E-02,2.187231E+00,-1.118224E+02,-4.190404E-03,-1.397770E+02,-5.260000E+00,-2.421000E+01,-4.736155E+00,-3.975032E+00,8001,7.879679E+00,2.306810E+00,8.733919E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.951427E+00,-4.433374E-01,1.050940E+01,0.000000E+00,10,2
2,9,-3.307235E+01,2.150141E+00,2.319620E+00,-6.964257E-02,2.643427E+00,-1.170022E+02,4.011587E-04,-1.430027E+02,-5.330000E+00,-2.607000E+01,-4.738585E+00,-3.896413E+00,8001,8.384220E+00,2.318628E+00,9.204434E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.054084E+00,-7.516964E-01,9.995100E+00,0.000000E+00,11,2
2,10,-3.228624E+01,3.181852E+00,2.350610E+00,-3.644644E-03,3.818951E+00,-1.592342E+02,-3.372132E-03,-1.910804E+02,-5.440000E+00,-2.949000E+01,-4.542934E+00,-4.203222E+00,8001,9.523159E+00,2.320503E+00,1.038035E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.369639E+00,-4.168840E-02,9.085600E+00,0.000000E+00,12,2
2,11,-3.140090E+01,2.285645E+00,2.437683E+00,-1.288240E-01,2.724640E+00,-1.435739E+02,1.215070E-02,-1.696804E+02,-5.460000E+00,-3.364000E+01,-4.638683E+00,-4.152641E+00,8001,9.475391E+00,2.364463E+00,1.025138E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.560222E+00,-1.554288E+00,1.108920E+01,0.000000E+00,13,2
3,1,-3.002989E+01,-5.113858E-02,2.703362E+00,-5.083378E-02,-5.133779E-02,-4.668426E-02,-5.819828E-02,-3.915892E-02,-6.830000E+00,-1.670000E+01,-4.712554E+00,-4.920386E+00,8001,2.756983E+00,2.647534E+00,2.826227E+00,5.000000E-01,5.000000E-01,5.000000E-01,5.000000E-01,3.072738E+00,-6.426599E-01,4.236100E+00,0.000000E+00,4,3
3,2,-3.413771E+01,4.645802E-01,3.002291E+00,7.718045E-01,3.743897E-03,-2.427387E+01,-4.045126E+01,-7.789527E-03,-1.186000E+01,-4.870000E+00,-3.929145E+00,-4.619982E+00,8001,2.880019E+00,3.242515E+00,2.228322E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.220158E+00,7.387278E+00,2.034600E+00,0.000000E+00,5,3
3,3,-4.289582E+01,7.036407E-02,2.565427E+00,8.220204E-02,5.852610E-02,-4.165058E+00,-4.734038E+00,-3.596079E+00,-8.940000E+00,-8.620000E+00,-4.057727E+00,-4.112183E+00,8001,2.584953E+00,2.622960E+00,2.546378E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.925879E+00,8.884792E-01,3.532800E+00,0.000000E+00,6,3
3,4,-4.905805E+01,1.334673E-01,2.443927E+00,-6.070937E-03,2.381210E-01,-3.679333E+00,-1.075403E+00,-5.632281E+00,-7.780000E+00,-1.438000E+01,-4.263381E+00,-3.930323E+00,8001,2.999674E+00,2.472542E+00,3.340881E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.243962E+00,-7.271961E-02,5.602500E+00,0.000000E+00,7,3
3,5,-5.248460E+01,9.148012E-02,2.415911E+00,-5.302442E-02,1.781828E-01,-9.123853E+00,3.731386E-03,-1.460040E+01,-7.250000E+00,-1.804000E+01,-4.516898E+00,-3.986633E+00,8001,3.376825E+00,2.428801E+00,3.834744E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.791955E+00,-6.942775E-01,7.012400E+00,0.000000E+00,8,3
3,6,-5.609876E+01,1.885677E-02,2.435627E+00,-6.155185E-02,5.906107E-02,-1.095771E+01,3.898407E-03,-1.643851E+01,-7.000000E+00,-2.569000E+01,-4.508513E+00,-4.170676E+00,8001,3.928081E+00,2.446213E+00,4.489182E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.746555E+00,-8.717660E-01,9.177300E+00,0.000000E+00,9,3
3,7,-5.565976E+01,1.303788E-01,2.442527E+00,-5.553128E-02,2.100545E-01,-1.344271E+01,3.271073E-03,-1.920527E+01,-6.210000E+00,-2.402000E+01,-4.179462E+00,-4.045130E+00,8001,3.870223E+00,2.451167E+00,4.338558E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.731217E+00,-8.437261E-01,9.151300E+00,0.000000E+00,10,3
3,8,-5.518004E+01,5.689504E-01,2.457513E+00,-6.310180E-02,8.059700E-01,-2.023274E+01,-4.056310E-03,-2.781850E+01,-5.980000E+00,-2.639000E+01,-4.056784E+00,-3.722890E+00,8001,4.583430E+00,2.464017E+00,5.158391E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.756280E+00,-1.021647E+00,1.107500E+01,0.000000E+00,11,3
3,9,-5.474855E+01,7.853205E-01,2.473201E+00,-4.342295E-02,1.061568E+00,-3.980134E+01,-3.125127E-03,-5.306741E+01,-6.320000E+00,-2.737000E+01,-4.187797E+00,-3.758578E+00,8001,6.028157E+00,2.468352E+00,6.813270E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.871876E+00,-7.450246E-01,1.106600E+01,0.000000E+00,12,3
3,10,-5.342484E+01,1.654844E+00,2.488825E+00,-5.140790E-02,2.166720E+00,-5.192667E+01,-2.606092E-03,-6.750389E+01,-6.270000E+00,-2.775000E+01,-4.152768E+00,-3.607144E+00,8001,6.668140E+00,2.475967E+00,7.480922E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.959081E+00,-9.303705E-01,1.208220E+01,0.000000E+00,13,3
3,11,-5.247613E+01,1.505084E+00,2.502973E+00,-4.190905E-02,1.926992E+00,-6.012305E+01,-3.986493E-03,-7.651916E+01,-6.340000E+00,-2.948000E+01,-4.166462E+00,-3.463070E+00,8001,7.312007E+00,2.478875E+00,8.146844E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.038620E+00,-7.968753E-01,1.365490E+01,0.000000E+00,14,3
3,12,-5.152036E+01,1.406567E+00,2.533159E+00,-4.009673E-02,1.768233E+00,-7.237962E+01,-5.286624E-03,-9.047320E+01,-6.630000E+00,-3.303000E+01,-4.275162E+00,-3.690339E+00,8001,8.016336E+00,2.488925E+00,8.875718E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.202135E+00,-7.983016E-01,1.497890E+01,0.000000E+00,15,3
3,13,-5.137506E+01,1.510202E+00,2.568208E+00,-4.225157E-02,1.868461E+00,-8.112246E+01,-7.512845E-03,-9.984130E+01,-6.720000E+00,-3.900000E+01,-4.286613E+00,-4.196997E+00,8001,8.462564E+00,2.506265E+00,9.310853E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.343711E+00,-8.781864E-01,1.648670E+01,0.000000E+00,16,3
3,14,-5.167575E+01,1.493417E+00,2.588663E+00,-3.566513E-02,1.821078E+00,-8.521908E+01,-7.889531E-03,-1.034786E+02,-6.460000E+00,-4.372000E+01,-4.154528E+00,-4.186950E+00,8001,8.717111E+00,2.512737E+00,9.535104E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.457795E+00,-7.718630E-01,1.768160E+01,0.000000E+00,17,3
3,15,-5.032198E+01,1.538762E+00,2.601395E+00,-3.898831E-02,1.854312E+00,-8.536627E+01,-7.480858E-03,-1.024380E+02,-6.200000E+00,-4.515000E+01,-4.036194E+00,-4.023889E+00,8001,8.918895E+00,2.513219E+00,9.705296E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.534280E+00,-8.765565E-01,1.811710E+01,0.000000E+00,18,3
3,16,-4.774894E+01,3.676794E+00,2.545948E+00,-3.374327E-02,4.372520E+00,-3.415312E+02,2.394653E-03,-4.055688E+02,-5.970000E+00,-2.311000E+01,-4.045163E+00,-3.531990E+00,8001,1.286598E+01,2.445395E+00,1.398033E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.022741E+00,-7.864782E-01,1.049600E+01,0.000000E+00,19,3
3,17,-4.618396E+01,4.075307E+00,2.554916E+00,-2.774360E-02,4.799375E+00,-3.891501E+02,-1.516512E-03,-4.578233E+02,-5.950000E+00,-2.128000E+01,-4.036231E+00,-3.437025E+00,8001,1.339220E+01,2.440685E+00,1.448965E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.145637E+00,-6.691344E-01,9.768800E+00,0.000000E+00,20,3
3,18,-4.457540E+01,4.574758E+00,2.571811E+00,-3.011469E-02,5.342236E+00,-4.199519E+02,1.222116E-03,-4.899441E+02,-5.890000E+00,-2.000000E+01,-4.011966E+00,-3.137099E+00,8001,1.381711E+01,2.435417E+00,1.489103E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.303485E+00,-7.503347E-01,1.013270E+01,0.000000E+00,21,3
3,19,-4.325941E+01,4.851825E+00,2.588432E+00,-2.885611E-02,5.622458E+00,-4.343487E+02,1.444430E-03,-5.029304E+02,-5.850000E+00,-1.982000E+01,-3.991362E+00,-3.594713E+00,8001,1.414685E+01,2.436227E+00,1.519198E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.411031E+00,-7.416233E-01,8.784400E+00,0.000000E+00,22,3
4,1,-5.143763E+01,4.748766E-03,2.579025E+00,3.983750E-03,5.193250E-03,-6.225074E-03,-1.429301E-03,-9.011479E-03,-5.950000E+00,-3.900000E-01,-3.958984E+00,-9.736243E-01,8001,2.762646E+00,2.497815E+00,2.905450E+00,0.000000E+00,0.000000E+00,5.000000E-01,5.000000E-01,2.868137E+00,8.539540E-02,1.273000E+00,0.000000E+00,5,4
4,2,-3.493994E+01,6.197301E-01,5.414845E+00,9.326331E-01,-6.075970E-03,-9.767589E+01,-1.465147E+02,1.803078E-03,-2.002000E+01,-5.170000E+00,-4.068278E+00,-4.629703E+00,8001,5.126070E+00,6.069217E+00,2.271344E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.274896E+00,1.344046E+01,2.119200E+00,0.000000E+00,6,4
4,3,-4.774600E+01,-2.305498E-01,3.331703E+00,-3.524234E-01,-6.805167E-02,-8.008611E+00,-1.412511E+01,1.467164E-01,-1.474000E+01,-7.790000E+00,-3.972787E+00,-4.355534E+00,8001,3.043792E+00,3.425794E+00,2.443251E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.528122E+00,-5.628587E+00,3.266200E+00,0.000000E+00,7,4
4,4,-5.579327E+01,5.983394E-03,2.731250E+00,1.102052E-02,9.462675E-04,-1.020144E+00,-1.463319E+00,-5.769690E-01,-1.016000E+01,-9.470000E+00,-4.016024E+00,-4.092775E+00,8001,2.704174E+00,2.764888E+00,2.642064E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.102194E+00,1.923968E-01,4.227800E+00,0.000000E+00,8,4
4,5,-6.254148E+01,-2.004418E-02,2.541608E+00,-3.141217E-02,-1.094979E-02,-1.059360E+00,-1.624230E-01,-1.776910E+00,-7.750000E+00,-1.134000E+01,-4.138382E+00,-4.041877E+00,8001,2.670970E+00,2.533021E+00,2.776399E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.056309E+00,-5.931924E-01,5.007000E+00,0.000000E+00,9,4
4,6,-6.856724E+01,-1.607641E-02,2.525400E+00,-4.744260E-02,4.834378E-03,-2.598334E+00,-1.571213E-02,-4.320081E+00,-7.320000E+00,-1.434000E+01,-4.059893E+00,-4.081020E+00,8001,2.826762E+00,2.520215E+00,3.013854E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830762E+00,-9.611054E-01,5.953200E+00,0.000000E+00,10,4
4,7,-7.240655E+01,-5.381654E-03,2.557621E+00,-4.637224E-02,1.804154E-02,-4.291435E+00,-5.281166E-03,-6.740666E+00,-7.210000E+00,-1.699000E+01,-3.959945E+00,-4.099244E+00,8001,2.969122E+00,2.542103E+00,3.187551E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.841369E+00,-1.001050E+00,6.896600E+00,0.000000E+00,11,4
4,8,-7.461952E+01,1.318610E-01,2.564064E+00,-4.256870E-02,2.190758E-01,-6.817269E+00,-8.184109E-03,-1.022181E+01,-6.840000E+00,-2.049000E+01,-3.783469E+00,-3.852290E+00,8001,3.278492E+00,2.557154E+00,3.585143E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.856194E+00,-9.738238E-01,8.642100E+00,0.000000E+00,12,4
