Z,N,energy,bet2,correctedRMS,bet2p,bet2n,bet4,bet4p,bet4n,epairp,epairn,unknown_c10,unknown_c11,iter,rms,rmsp,rmsn,jz_p,jz_n,j,extra_c19,extra_c21,extra_c22,extra_c23,extra_c24,Nmass,Ncharge
1,1,-1.822439E+01,4.075192E-02,1.053524E+00,3.840291E-02,4.310093E-02,7.153221E+00,7.215709E+00,7.090733E+00,-3.090000E+00,-3.080000E+00,-3.712761E+00,-3.722779E+00,8001,2.522858E+00,2.530424E+00,2.515269E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,NAN,6.651609E-02,1.495400E+00,0.000000E+00,2,1
1,2,-2.585666E+01,4.170421E-02,2.428118E+00,6.076331E-02,2.559470E-02,-3.130639E-02,1.417937E-01,-1.776174E-01,-1.227000E+01,-5.230000E+00,-4.738441E+00,-4.243888E+00,8001,2.433517E+00,2.487167E+00,2.387231E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.580562E+00,2.676592E-01,2.095400E+00,0.000000E+00,3,1
1,3,-2.775383E+01,5.837940E-02,2.895436E+00,1.021739E-01,4.204516E-03,-6.823873E-01,-1.132252E+00,-1.258940E-01,-1.812000E+01,-7.170000E+00,-4.936728E+00,-4.609541E+00,8001,2.766636E+00,2.845012E+00,2.666498E+00,5.000000E-01,5.000000E-01,5.000000E-01,5.000000E-01,3.801595E+00,1.472008E+00,3.009000E+00,0.000000E+00,4,1
1,4,-4.592699E+01,-2.225986E-02,2.995515E+00,-1.971085E-02,-2.614649E-02,-2.256383E-02,-3.368781E-02,-5.602415E-03,-2.340000E+00,-6.760000E+00,-1.880057E+00,-4.373857E+00,8001,2.757039E+00,2.915171E+00,2.496723E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.615882E+00,-6.128627E-01,3.095700E+00,0.000000E+00,5,1
1,5,-5.028386E+01,2.348531E-01,2.978643E+00,1.487365E-01,3.531378E-01,1.298086E-01,5.210714E-02,2.365347E-01,-3.800000E-01,-5.810000E+00,-1.121917E+00,-3.896335E+00,8001,2.824339E+00,2.899762E+00,2.717333E+00,5.000000E-01,5.100000E-01,5.000000E-01,2.430000E+00,3.445447E+00,5.798950E+00,2.988100E+00,0.000000E+00,6,1
1,6,-7.733887E+01,-8.226310E-02,2.963428E+00,-1.052985E-01,-5.355070E-02,-1.068213E-02,-3.280499E-02,1.689280E-02,-1.160000E+00,-8.600000E-01,-1.136557E+00,-1.295352E+00,8001,2.744283E+00,2.884062E+00,2.559390E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.714188E+00,-4.866547E+00,1.492400E+00,0.000000E+00,7,1
1,7,-9.534501E+01,-1.040817E-01,3.113918E+00,-1.136993E-01,-9.086652E-02,1.335990E-01,2.306967E-01,1.809469E-04,-1.088000E+01,-2.400000E-01,-3.697875E+00,-1.529179E+00,8001,2.900830E+00,3.022330E+00,2.725059E+00,5.000000E-01,5.000000E-01,5.000000E-01,5.500000E-01,3.634250E+00,-7.770779E+00,8.038000E-01,0.000000E+00,8,1
1,8,-1.143061E+02,7.725323E-03,3.181112E+00,1.004640E-02,4.470048E-03,-5.860067E-04,-1.567407E-03,7.903950E-04,-1.133000E+01,-2.800000E-01,-3.589206E+00,-1.307965E+00,8001,2.971646E+00,3.083564E+00,2.807174E+00,5.000000E-01,5.000000E-01,0.000000E+00,0.000000E+00,3.598086E+00,8.824895E-01,9.208000E-01,0.000000E+00,9,1
1,9,-1.260989E+02,-1.874472E-01,3.177076E+00,-2.267538E-01,-1.315656E-01,-8.566112E-03,-1.112818E-03,-1.916232E-02,-4.100000E-01,-2.100000E-01,-7.607249E-01,-1.283629E+00,8001,2.964361E+00,3.072241E+00,2.803854E+00,5.000000E-01,5.000000E-01,1.500000E+00,2.470000E+00,3.604825E+00,-2.470103E+01,9.895000E-01,0.000000E+00,10,1
1,10,-1.463736E+02,-1.807250E-01,3.262896E+00,-1.795280E-01,-1.824287E-01,5.137780E-02,4.731615E-02,5.715854E-02,-7.000000E-01,-9.600000E-01,-8.064704E-01,-1.027080E+00,8001,3.050671E+00,3.162032E+00,2.884772E+00,5.000000E-01,5.100000E-01,0.000000E+00,0.000000E+00,3.716526E+00,-2.334640E+01,2.054600E+00,0.000000E+00,11,1
